REGION,TECHNOLOGY,YEAR,VALUE,EMISSION,MODE_OF_OPERATION,TIMESLICE,FUEL,STORAGE,REGION.1
RE1,PWRCOA_A,2027.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2028.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2029.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2030.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2031.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2032.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2033.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2034.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2035.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2036.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2037.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2038.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2039.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2040.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2041.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2042.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2043.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2044.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2045.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2046.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2047.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2048.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2049.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2050.0,0.384916039501989,,,,,,
RE1,PWRCOA_A,2051.0,0.299229479625473,,,,,,
RE1,PWRCOA_A,2052.0,0.265346684407711,,,,,,
RE1,PWRCOA_A,2053.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2054.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2055.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2056.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2057.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2058.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2059.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2060.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2061.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2062.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2063.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2064.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2065.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2066.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2067.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2068.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2069.0,0.244575102464516,,,,,,
RE1,PWRCOA_A,2070.0,0.244575102464516,,,,,,
RE1,PWRNGS001_A,2015.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2016.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2017.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2018.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2019.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2020.0,0.0485444308181746,,,,,,
RE1,PWRNGS001_A,2021.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2022.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2023.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2024.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2025.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2026.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2027.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2028.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2029.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2030.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2031.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2032.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2033.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2034.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2035.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2036.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2037.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2038.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2039.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2040.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2041.0,0.200465020390445,,,,,,
