REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE1","S103","ELC003_A",2049,27.5824968702984
"RE1","S103","ELC003_A",2050,29.2266228881916
"RE1","S104","ELC003_A",2015,3.86875994134344
"RE1","S104","ELC003_A",2016,4.0411308500928
"RE1","S104","ELC003_A",2017,4.36292279446992
"RE1","S104","ELC003_A",2018,4.68471338247156
"RE1","S104","ELC003_A",2019,5.00650532684868
"RE1","S104","ELC003_A",2020,5.3282959162067
"RE1","S104","ELC003_A",2021,5.61657589024308
"RE1","S104","ELC003_A",2022,5.92531678839526
"RE1","S104","ELC003_A",2023,6.25565932515468
"RE1","S104","ELC003_A",2024,6.60884322364092
"RE1","S104","ELC003_A",2025,6.98620587143364
"RE1","S104","ELC003_A",2026,7.47301445670756
"RE1","S104","ELC003_A",2027,7.99336078209996
"RE1","S104","ELC003_A",2028,8.5494665892907
"RE1","S104","ELC003_A",2029,9.14368383743124
"RE1","S104","ELC003_A",2030,9.77852995398694
"RE1","S104","ELC003_A",2031,10.4788347552766
"RE1","S104","ELC003_A",2032,11.2335749709923
"RE1","S104","ELC003_A",2033,12.0464643571983
"RE1","S104","ELC003_A",2034,12.9215394954615
"RE1","S104","ELC003_A",2035,14.1604108098972
"RE1","S104","ELC003_A",2036,15.2554669899204
"RE1","S104","ELC003_A",2037,16.4330586179016
"RE1","S104","ELC003_A",2038,17.6994657123132
"RE1","S104","ELC003_A",2039,19.0614565868004
"RE1","S104","ELC003_A",2040,20.5263149776908
"RE1","S104","ELC003_A",2041,21.7331771885304
"RE1","S104","ELC003_A",2042,23.0108286356712
"RE1","S104","ELC003_A",2043,24.3634062643272
"RE1","S104","ELC003_A",2044,25.7953182948084
"RE1","S104","ELC003_A",2045,27.3111899675016
"RE1","S104","ELC003_A",2046,28.9470059238912
"RE1","S104","ELC003_A",2047,30.6785277341496
"RE1","S104","ELC003_A",2048,32.5113572290092
"RE1","S104","ELC003_A",2049,34.4514217693176
"RE1","S104","ELC003_A",2050,36.5049878097924
"RE1","S105","ELC003_A",2015,3.16539229382376
"RE1","S105","ELC003_A",2016,3.3064249643712
"RE1","S105","ELC003_A",2017,3.56971287997968
"RE1","S105","ELC003_A",2018,3.83299968581124
"RE1","S105","ELC003_A",2019,4.09628760141972
"RE1","S105","ELC003_A",2020,4.35957440836106
"RE1","S105","ELC003_A",2021,4.59544306449732
"RE1","S105","ELC003_A",2022,4.84805270547178
"RE1","S105","ELC003_A",2023,5.11833665589372
"RE1","S105","ELC003_A",2024,5.40730924853868
"RE1","S105","ELC003_A",2025,5.71606472455956
"RE1","S105","ELC003_A",2026,6.11436810025524
"RE1","S105","ELC003_A",2027,6.54011182007484
"RE1","S105","ELC003_A",2028,6.99511369750354
"RE1","S105","ELC003_A",2029,7.48129808904996
"RE1","S105","ELC003_A",2030,8.0007247362385
"RE1","S105","ELC003_A",2031,8.57370922091558
"RE1","S105","ELC003_A",2032,9.19123238050346
"RE1","S105","ELC003_A",2033,9.8563327842091
"RE1","S105","ELC003_A",2034,10.5723131348051
"RE1","S105","ELC003_A",2035,11.5859489693388
"RE1","S105","ELC003_A",2036,12.4819162679316
"RE1","S105","ELC003_A",2037,13.4454134921064
"RE1","S105","ELC003_A",2038,14.4815789090028
"RE1","S105","ELC003_A",2039,15.5959503054516
"RE1","S105","ELC003_A",2040,16.7944871835132
"RE1","S105","ELC003_A",2041,17.7819333936216
"RE1","S105","ELC003_A",2042,18.8272988611848
"RE1","S105","ELC003_A",2043,19.9339684058088
"RE1","S105","ELC003_A",2044,21.1055488024836
"RE1","S105","ELC003_A",2045,22.3458243905064
"RE1","S105","ELC003_A",2046,23.6842375515648
"RE1","S105","ELC003_A",2047,25.1009565720984
"RE1","S105","ELC003_A",2048,26.6005648307868
"RE1","S105","ELC003_A",2049,28.1879120527704
"RE1","S105","ELC003_A",2050,29.8681254074196
"RE1","S106","ELC003_A",2015,3.98366247738888
"RE1","S106","ELC003_A",2016,4.1611528184256
"RE1","S106","ELC003_A",2017,4.49250201397584
"RE1","S106","ELC003_A",2018,4.82384981286612
"RE1","S106","ELC003_A",2019,5.15519900841636
"RE1","S106","ELC003_A",2020,5.4865468087033
"RE1","S106","ELC003_A",2021,5.78338872522516
"RE1","S106","ELC003_A",2022,6.10129925724362
"RE1","S106","ELC003_A",2023,6.44145299857836
"RE1","S106","ELC003_A",2024,6.80512649224284
"RE1","S106","ELC003_A",2025,7.19369684635428
"RE1","S106","ELC003_A",2026,7.69496369263812
