REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S101","PWRTRN_A",1,2045,194.003112879667
"RE1","S101","PWRTRN_A",1,2046,205.152483005977
"RE1","S101","PWRTRN_A",1,2047,216.92540118875
"RE1","S101","PWRTRN_A",1,2048,229.35671937232
"RE1","S101","PWRTRN_A",1,2049,242.483216484543
"RE1","S101","PWRTRN_A",1,2050,256.343667226142
"RE1","S101","PWRDIST_A",1,2015,25.5219165894648
"RE1","S101","PWRDIST_A",1,2016,26.2754124950016
"RE1","S101","PWRDIST_A",1,2017,28.3677021014822
"RE1","S101","PWRDIST_A",1,2018,30.4599828888163
"RE1","S101","PWRDIST_A",1,2019,32.552272495297
"RE1","S101","PWRDIST_A",1,2020,34.6445532914502
"RE1","S101","PWRDIST_A",1,2021,36.5189482350538
"RE1","S101","PWRDIST_A",1,2022,38.5263800045149
"RE1","S101","PWRDIST_A",1,2023,40.674265519729
"RE1","S101","PWRDIST_A",1,2024,42.9706654541942
"RE1","S101","PWRDIST_A",1,2025,45.4242754952381
"RE1","S101","PWRDIST_A",1,2026,48.5895024722083
"RE1","S101","PWRDIST_A",1,2027,51.9727916670211
"RE1","S101","PWRDIST_A",1,2028,55.5885888329226
"RE1","S101","PWRDIST_A",1,2029,59.4521863965053
"RE1","S101","PWRDIST_A",1,2030,63.5799526585079
"RE1","S101","PWRDIST_A",1,2031,68.1333309599535
"RE1","S101","PWRDIST_A",1,2032,73.0406480526534
"RE1","S101","PWRDIST_A",1,2033,78.3260507598887
"RE1","S101","PWRDIST_A",1,2034,84.0157849147369
"RE1","S101","PWRDIST_A",1,2035,92.0709199802784
"RE1","S101","PWRDIST_A",1,2036,99.1909697640288
"RE1","S101","PWRDIST_A",1,2037,106.847664615955
"RE1","S101","PWRDIST_A",1,2038,115.08183718463
"RE1","S101","PWRDIST_A",1,2039,123.937495011389
"RE1","S101","PWRDIST_A",1,2040,133.461996913258
"RE1","S101","PWRDIST_A",1,2041,141.309008947949
"RE1","S101","PWRDIST_A",1,2042,149.616292241606
"RE1","S101","PWRDIST_A",1,2043,158.410745191238
"RE1","S101","PWRDIST_A",1,2044,167.721030023165
"RE1","S101","PWRDIST_A",1,2045,177.577220027155
"RE1","S101","PWRDIST_A",1,2046,188.213287161446
"RE1","S101","PWRDIST_A",1,2047,199.471633277011
"RE1","S101","PWRDIST_A",1,2048,211.388681449142
"RE1","S101","PWRDIST_A",1,2049,224.002971348307
"RE1","S101","PWRDIST_A",1,2050,237.355247431613
"RE1","S101","MINBIO_A",1,2016,2.43700186950092
"RE1","S101","MINBIO_A",1,2017,4.0586832
"RE1","S101","MINBIO_A",1,2018,4.0586832
"RE1","S101","MINBIO_A",1,2019,4.0586832
"RE1","S101","MINBIO_A",1,2020,3.79991474591376
"RE1","S101","MINBIO_A",1,2023,1.25298009857574
"RE1","S101","MINBIO_A",1,2024,4.0586832
"RE1","S101","MINBIO_A",1,2025,4.0586832
"RE1","S101","MINBIO_A",1,2026,4.0586832
"RE1","S101","MINBIO_A",1,2027,4.0586832
"RE1","S101","MINBIO_A",1,2028,4.0586832
"RE1","S101","MINBIO_A",1,2029,4.0586832
"RE1","S101","MINBIO_A",1,2030,4.0586832
"RE1","S101","PWRBIO_A",1,2016,0.852098555769553
"RE1","S101","PWRBIO_A",1,2017,1.41912
"RE1","S101","PWRBIO_A",1,2018,1.41912
"RE1","S101","PWRBIO_A",1,2019,1.41912
"RE1","S101","PWRBIO_A",1,2020,1.32864151955027
"RE1","S101","PWRBIO_A",1,2023,0.438104929571937
"RE1","S101","PWRBIO_A",1,2024,1.41912
"RE1","S101","PWRBIO_A",1,2025,1.41912
"RE1","S101","PWRBIO_A",1,2026,1.41912
"RE1","S101","PWRBIO_A",1,2027,1.41912
"RE1","S101","PWRBIO_A",1,2028,1.41912
"RE1","S101","PWRBIO_A",1,2029,1.41912
"RE1","S101","PWRBIO_A",1,2030,1.41912
"RE1","S101","MINHYD_A",1,2015,6.23539702935403
"RE1","S101","MINHYD_A",1,2016,6.23539702935403
"RE1","S101","MINHYD_A",1,2017,6.23539702935403
"RE1","S101","MINHYD_A",1,2018,10.5759589064383
"RE1","S101","MINHYD_A",1,2019,6.23539702935403
"RE1","S101","MINHYD_A",1,2020,6.23539702935403
"RE1","S101","MINHYD_A",1,2021,6.23539702935403
"RE1","S101","MINHYD_A",1,2022,6.23539702935403
"RE1","S101","MINHYD_A",1,2023,6.23539702935403
"RE1","S101","MINHYD_A",1,2024,6.23539702935403
"RE1","S101","MINHYD_A",1,2025,6.23539702935403
